id genecolor
PrileiEVm000700t1 #FFCC33
PrileiEVm000701t1 #E066FF
PrileiEVm000702t1 #DDCDCC
PrileiEVm000703t1 #FEE391
PrileiEVm000704t1 #D26666
PrileiEVm000705t1 #FA9E42
PrileiEVm000706t1 #EE5C42
PrileiEVm000707t1 #FFE7A3
PrileiEVm000708t1 #82B3A9
PrileiEVm000709t1 #FFE7A3
PrileiEVm000710t1 #DDCDCC
PrileiEVm000711t1 #EE5C42
PrileiEVm000712t1 #D26666
PrileiEVm000713t1 #ECE44C
PrileiEVm000714t1 #228B22
PrileiEVm000715t1 #E066FF
PrileiEVm000716t1 #FFCC33
PrileiEVm000717t1 #E066FF
PrileiEVm000718t1 #FFCC33
PrileiEVm000719t1 #FDA8A8
PrileiEVm000720t1 #6BAED6
PrileiEVm000721t1 #FF8BC9
PrileiEVm000722t1 #E066FF
PrileiEVm000723t1 #FEC960
PrileiEVm000724t1 #ECE44C
PrileiEVm000725t1 #82B3A9
PrileiEVm000726t1 #8DFFCF
PrileiEVm000727t1 #021AE0
PrileiEVm000728t1 #ECE44C
PrileiEVm000729t1 #56A0CE
PrileiEVm000730t1 #4565B2
PrileiEVm000731t1 #EC7014
PrileiEVm000732t1 #B22222
PrileiEVm000733t1 #004370
PrileiEVm000734t1 #B22222
PrileiEVm000735t1 #8B8B00
PrileiEVm000736t1 #585858
PrileiEVm000737t1 #002E4E
PrileiEVm000738t1 #EE5C42
PrileiEVm000740t1 #79882D
PrileiEVm000741t1 #4565B2
PrileiEVm000742t1 #FD6B6B
PrileiEVm000743t1 #FA9E42
PrileiEVm000744t1 #FF8BC9
PrileiEVm000745t1 #1E90FF
PrileiEVm000746t1 #78A4D0
PrileiEVm000747t1 #E066FF
PrileiEVm000748t1 #FFE7A3
PrileiEVm000749t1 #FA9E42
PrileiEVm000750t1 #FF8BC9
PrileiEVm000751t1 #1E90FF
PrileiEVm000752t1 #FFE7A3
PrileiEVm000753t1 #ECE44C
PrileiEVm000754t1 #ECE44C
PrileiEVm000755t1 #FFE7A3
PrileiEVm000756t1 #FA9E42
PrileiEVm000757t1 #CF9356
PrileiEVm000758t1 #FA9E42
